1,1,2
2,1,3
4,1,4
5,1,4
7,1,1
8,1,4
10,1,3
11,1,4
12,1,4
13,1,3
14,1,1
15,1,4
16,1,1
18,1,2
19,1,3
20,1,2
21,1,1
22,1,4
23,1,1
24,1,4
26,1,1
27,1,3
28,1,1
30,1,3
31,1,2
32,1,3
33,1,2
35,1,3
36,1,1
38,1,2
39,1,3
40,1,4
41,1,4
42,1,4
45,1,2
46,1,4
47,1,1
49,1,4
51,1,2
52,1,3
53,1,3
54,1,4
55,1,1
56,1,4
57,1,3
58,1,2
60,1,2
61,1,2
62,1,1
63,1,4
64,1,1
65,1,3
68,1,2
70,1,3
72,1,3
73,1,1
74,1,2
75,1,3
76,1,4
77,1,1
78,1,1
79,1,4
80,1,2
81,1,1
83,1,3
84,1,4
85,1,2
86,1,2
88,1,2
90,1,4
91,1,1
94,1,3
95,1,3
96,1,2
97,1,2
98,1,3
100,1,3
101,1,4
102,1,1
103,1,2
104,1,4
105,1,2
106,1,1
107,1,2
110,1,1
112,1,4
113,1,3
116,1,4
117,1,3
118,1,3
119,1,3
120,1,3
121,1,3
124,1,3
125,1,2
126,1,1
128,1,1
129,1,2
131,1,4
132,1,2
133,1,3
134,1,4
137,1,4
138,1,1
139,1,3
140,1,3
141,1,1
142,1,3
143,1,4
144,1,2
145,1,1
147,1,1
148,1,4
150,1,2
151,1,3
152,1,3
153,1,3
154,1,2
155,1,1
158,1,3
159,1,1
160,1,3
161,1,2
162,1,1
163,1,2
164,1,3
165,1,4
167,1,4
169,1,3
170,1,3
171,1,2
174,1,3
175,1,2
176,1,3
177,1,3
178,1,2
179,1,1
182,1,4
183,1,1
184,1,3
190,1,1
192,1,3
193,1,4
194,1,1
195,1,4
197,1,4
198,1,2
199,1,4
200,1,3
201,1,2
202,1,2
204,1,3
205,1,2
206,1,2
207,1,2
208,1,4
211,1,2
214,1,2
215,1,3
216,1,3
217,1,3
218,1,4
221,1,3
223,1,3
224,1,3
226,1,3
227,1,1
228,1,2
230,1,1
231,1,3
233,1,3
235,1,3
238,1,4
239,1,3
240,1,3
241,1,3
242,1,3
243,1,2
244,1,2
245,1,3
246,1,3
247,1,4
248,1,2
249,1,3
250,1,4
252,1,4
253,1,4
254,1,3
256,1,4
258,1,4
259,1,3
260,1,4
261,1,2
262,1,4
264,1,1
267,1,2
269,1,2
270,1,3
271,1,4
273,1,4
274,1,3
275,1,4
277,1,4
281,1,3
282,1,2
283,1,2
284,1,4
286,1,2
287,1,4
288,1,4
291,1,4
292,1,3
293,1,4
296,1,2
297,1,4
298,1,4
299,1,3
300,1,3
302,1,4
303,1,4
304,1,4
305,1,3
306,1,2
307,1,1
308,1,3
309,1,3
311,1,1
312,1,2
314,1,3
315,1,3
316,1,3
319,1,3
321,1,2
323,1,4
325,1,3
327,1,4
328,1,1
329,1,1
330,1,3
331,1,4
332,1,3
333,1,3
334,1,3
335,1,1
336,1,3
337,1,2
338,1,3
339,1,4
340,1,3
341,1,1
342,1,1
343,1,3
346,1,3
347,1,4
349,1,4
350,1,1
351,1,4
352,1,1
353,1,3
355,1,3
359,1,2
361,1,4
362,1,4
363,1,3
364,1,1
366,1,1
367,1,2
369,1,2
372,1,3
373,1,4
374,1,4
376,1,1
377,1,4
378,1,3
379,1,4
380,1,1
381,1,2
382,1,1
384,1,3
385,1,1
386,1,3
387,1,2
388,1,2
389,1,2
390,1,1
391,1,4
392,1,4
393,1,4
394,1,1
395,1,4
396,1,3
397,1,3
399,1,4
401,1,4
403,1,2
404,1,3
405,1,3
406,1,3
407,1,3
408,1,4
410,1,4
411,1,4
412,1,2
416,1,2
417,1,3
419,1,2
420,1,4
421,1,1
422,1,4
423,1,3
424,1,1
425,1,1
426,1,3
428,1,4
429,1,3
430,1,3
431,1,3
433,1,3
434,1,3
436,1,3
437,1,4
438,1,4
439,1,1
440,1,1
441,1,4
442,1,3
444,1,3
445,1,4
446,1,2
447,1,4
448,1,3
449,1,3
450,1,4
451,1,3
452,1,4
453,1,2
454,1,2
455,1,2
456,1,4
458,1,2
460,1,4
461,1,3
462,1,3
463,1,4
464,1,3
465,1,3
466,1,4
467,1,2
468,1,1
469,1,4
470,1,3
471,1,3
473,1,1
474,1,3
475,1,4
476,1,3
477,1,1
478,1,1
479,1,4
481,1,1
482,1,4
483,1,4
484,1,1
485,1,4
486,1,3
487,1,3
